index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
4357,1237,2022/6/27,1410,238.8,239.15,238.02,238.68,-0.002048752,568,泸州老窖
4358,1238,2022/6/27,1415,238.68,239,238.67,238.9,0.000921736,568,泸州老窖
4359,1239,2022/6/27,1420,238.89,239.06,238.8,238.83,-0.00029301,568,泸州老窖
4360,1240,2022/6/27,1425,238.83,238.98,238.5,238.82,-4.19E-05,568,泸州老窖
4361,1241,2022/6/27,1430,238.61,238.89,238.5,238.63,-0.000795578,568,泸州老窖
4362,1242,2022/6/27,1435,238.55,238.68,238.05,238.68,0.000209529,568,泸州老窖
4363,1243,2022/6/27,1440,238.72,239.18,238.6,238.6,-0.000335177,568,泸州老窖
4364,1244,2022/6/27,1445,238.65,238.65,238.08,238.34,-0.00108969,568,泸州老窖
4365,1245,2022/6/27,1450,238.34,238.92,238.15,238.74,0.001678275,568,泸州老窖
4366,1246,2022/6/27,1455,238.68,238.77,238.33,238.4,-0.001424143,568,泸州老窖
4367,1247,2022/6/27,1500,238.38,238.71,238.16,238.71,0.001300336,568,泸州老窖
4368,1248,2022/6/28,935,238.7,239.5,237.12,237.69,-0.004272967,568,泸州老窖
4369,1249,2022/6/28,940,237.61,239.19,237.49,238.3,0.002566368,568,泸州老窖
4370,1250,2022/6/28,945,238.12,239.5,238.04,238.64,0.001426773,568,泸州老窖
4371,1251,2022/6/28,950,238.62,238.62,237.6,237.73,-0.003813275,568,泸州老窖
4372,1252,2022/6/28,955,237.75,238.97,237.75,238.35,0.002608001,568,泸州老窖
4373,1253,2022/6/28,1000,238.38,238.38,237.5,237.5,-0.003566184,568,泸州老窖
4374,1254,2022/6/28,1005,237.55,238,237.28,237.79,0.001221053,568,泸州老窖
4375,1255,2022/6/28,1010,237.79,238.25,237.79,237.9,0.000462593,568,泸州老窖
4376,1256,2022/6/28,1015,237.89,238.04,237.48,237.7,-0.000840689,568,泸州老窖
4377,1257,2022/6/28,1020,237.7,239,237.7,238.55,0.003575936,568,泸州老窖
4378,1258,2022/6/28,1025,238.66,238.96,238.44,238.64,0.000377279,568,泸州老窖
4379,1259,2022/6/28,1030,238.62,238.77,237.76,237.8,-0.003519946,568,泸州老窖
4380,1260,2022/6/28,1035,237.78,238.8,237.74,238.73,0.003910849,568,泸州老窖
4381,1261,2022/6/28,1040,238.7,239.14,238.69,238.9,0.000712102,568,泸州老窖
4382,1262,2022/6/28,1045,238.9,239.17,238.41,238.5,-0.001674341,568,泸州老窖
4383,1263,2022/6/28,1050,238.55,238.99,238.06,238.71,0.000880503,568,泸州老窖
4384,1264,2022/6/28,1055,238.71,239.83,238.71,239.73,0.004272967,568,泸州老窖
4385,1265,2022/6/28,1100,239.8,239.92,238.57,238.6,-0.004713636,568,泸州老窖
4386,1266,2022/6/28,1105,238.57,238.96,238.12,238.58,-8.38E-05,568,泸州老窖
4387,1267,2022/6/28,1110,238.58,239.61,238.4,239.58,0.004191466,568,泸州老窖
4388,1268,2022/6/28,1115,239.62,239.78,238.8,238.8,-0.003255697,568,泸州老窖
4389,1269,2022/6/28,1120,238.77,239.4,238.07,239.17,0.001549414,568,泸州老窖
4390,1270,2022/6/28,1125,239.07,239.34,238.8,239.01,-0.00066898,568,泸州老窖
4391,1271,2022/6/28,1130,239.07,239.07,238.25,238.28,-0.003054266,568,泸州老窖
4392,1272,2022/6/28,1305,238.25,238.68,238.06,238.09,-0.000797381,568,泸州老窖
4393,1273,2022/6/28,1310,238.09,238.09,237.53,237.9,-0.000798018,568,泸州老窖
4394,1274,2022/6/28,1315,237.9,238.24,237.75,237.83,-0.000294241,568,泸州老窖
